"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
16697,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",18,"Clervaux",101,"Clervaux","","Commune (same as level 3)","Commune (same as level 3)"
16698,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",21,"Consthum",96,"Consthum","","Commune (same as level 3)","Commune (same as level 3)"
16699,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",46,"Heinerscheid",103,"Heinerscheid","","Commune (same as level 3)","Commune (same as level 3)"
16700,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",50,"Hosingen",99,"Hosingen","","Commune (same as level 3)","Commune (same as level 3)"
16701,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",73,"Munshausen",100,"Munshausen","","Commune (same as level 3)","Commune (same as level 3)"
16702,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",101,"Troisvierges",105,"Troisvierges","","Commune (same as level 3)","Commune (same as level 3)"
16703,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",111,"Weiswampach",104,"Weiswampach","","Commune (same as level 3)","Commune (same as level 3)"
16704,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",114,"Wincrange",102,"Wincrange","","Commune (same as level 3)","Commune (same as level 3)"
16705,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",8,"Bettendorf",77,"Bettendorf","","Commune (same as level 3)","Commune (same as level 3)"
16706,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",14,"Bourscheid",89,"Bourscheid","","Commune (same as level 3)","Commune (same as level 3)"
16707,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",24,"Diekirch",81,"Diekirch","","Commune (same as level 3)","Commune (same as level 3)"
16708,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",30,"Ermsdorf",72,"Ermsdorf","","Commune (same as level 3)","Commune (same as level 3)"
16709,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",31,"Erpeldange",82,"Erpeldange","","Commune (same as level 3)","Commune (same as level 3)"
16710,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",35,"Ettelbruck",75,"Ettelbruck","","Commune (same as level 3)","Commune (same as level 3)"
16711,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",36,"Feulen",78,"Feulen","","Commune (same as level 3)","Commune (same as level 3)"
16712,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",49,"Hoscheid",93,"Hoscheid","","Commune (same as level 3)","Commune (same as level 3)"
16713,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",66,"Medernach",66,"Medernach","","Commune (same as level 3)","Commune (same as level 3)"
16714,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",69,"Mertzig",73,"Mertzig","","Commune (same as level 3)","Commune (same as level 3)"
16715,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",83,"Reisdorf",79,"Reisdorf","","Commune (same as level 3)","Commune (same as level 3)"
16716,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",92,"Schieren",69,"Schieren","","Commune (same as level 3)","Commune (same as level 3)"
16717,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",4,"Beckerich",48,"Beckerich","","Commune (same as level 3)","Commune (same as level 3)"
16718,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",29,"Ell",59,"Ell","","Commune (same as level 3)","Commune (same as level 3)"
16719,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",43,"Grosbous",74,"Grosbous","","Commune (same as level 3)","Commune (same as level 3)"
16720,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",78,"Préizerdaul",62,"Préizerdaul","","Commune (same as level 3)","Commune (same as level 3)"
16721,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",80,"Rambrouch",80,"Rambrouch","","Commune (same as level 3)","Commune (same as level 3)"
16722,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",82,"Redange",58,"Redange","","Commune (same as level 3)","Commune (same as level 3)"
16723,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",88,"Saeul",47,"Saeul","","Commune (same as level 3)","Commune (same as level 3)"
16724,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",103,"Useldange",57,"Useldange","","Commune (same as level 3)","Commune (same as level 3)"
16725,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",105,"Vichten",65,"Vichten","","Commune (same as level 3)","Commune (same as level 3)"
16726,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange",106,"Wahl",76,"Wahl","","Commune (same as level 3)","Commune (same as level 3)"
16727,131,"LUX","Luxembourg",1,"Diekirch",4,"Vianden",79,"Putscheid",92,"Putscheid","","Commune (same as level 3)","Commune (same as level 3)"
